triple#	label	id	note	disposition	disposition 2	
0	needle assembly	OBI_0000551	"chromatography device, check on definition !"	check	separate	TODO
555	_defined processes	OBI_0600065	junk class to gather the defined classes	ignore		
21201	_defined_output	OBI_0000449	"This placeholder gets automatically removed during the release process, and doesn't appear in the released version of OBI."	ignore		
16480	2x2 factorial design	OBI_0500015	MSI	asked philippe		?
12072	achieves_planned_objective	OBI_0000417	modified according to email thread from 1/23/09 in accordince with DT and PPPB branch	separate		
15002	acquisition	OBI_0600008	This needs to be fleshed out and logical definitions added that will allow to place the children terms automatically under acquisition	todo		TODO
5081	acquisition computer	OBI_0000636	NMR instrument	separate		
8377	ACS	OBI_0000321	analytical_cytology_data_file	delete		TODO: check if alt term in
19232	activated partial thromboplastin time (aPTT) assay	OBI_0000820	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
19236	activated partial thromboplastin time (aPTT) assay	OBI_0000820	2009/10/18 Alan Ruttenberg. This assay was added during the fucoidan use case exercise but still needs to be fleshed out. Only the AT-III assay has more carefully specified inputs and outputs	user		
19238	activated partial thromboplastin time (aPTT) assay	OBI_0000820	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
13119	adding a material entity into a target	OBI_0000274	"Class was renamed from 'administering substance', as this is commonly used only for additions into organisms."	user		
3358	adding substance to cell culture	OBI_0600000	"renamed from 'adminstering substance to cell culture', to reflect that administration is commonly used only for organisms"	user		TODO:typo
7891	adipose tissue	OBI_0302745	PRS: this class has been added during major biomaterial.owl cleanup for evaluation and testing of imports from CARO	separate		
16439	adjuvent role	OBI_0000720	11Feb09:Vaccine Ontology Definition: Adjuvant boosts immune response of a vaccine or antigen in the host.  \nthe role 'adjuvant role' inheres in some 'material entity' and is realized by some 'immune response assay'.	user		TODO: check adjuvant/adjuvent duplicate. If we keep VO def we should mireot from VO
10427	administering substance in vivo	OBI_0600007	Different routes and means of administration should go as children underneath this	user		
10429	administering substance in vivo	OBI_0600007	"needs roles such as perturber and perturbee (children of input role). Perturb is too strong. Host might be the name for one role. Others considered: Doner, Donated, Acceptor."	user		TODO: check with BP
8918	analog-to-digital converter	OBI_0400007	"original definition says ""part of the electronic subsystem"""	user		TODO: check if that is still the intent
9847	analyte assay	OBI_0000443	"2/19/2009: RESOLVE the 'measurement unit label' in the logical definition will be replaced by 'concentration unit label', once we have that imported from the unit ontology"	delete		not relevant anymore
9854	analyte assay	OBI_0000443	"logical def modified to remove expression below, as some analyte assays report below the level of detection, and therefore not a scalar measurement datum, replaced by measurement datum\n\nand \n('has measurement unit label' some 'measurement unit label') and \n('is quality measurement of' some 'molecular concentration'))"	user		
9855	analyte assay	OBI_0000443	"We assume that presence or absence can be represented as concentrations of >0 or = 0. If that will not be possible, the definition will have to be updated. We need to wait on the 'towards' relational quality from PATO for any of this, which requires OWL 2.0"	delete		don't understand :(
9857	analyte assay	OBI_0000443	"Note: is_realization of some analyte role isn't always true, for example when there is none of the analyte in the evaluant. For the moment we are writing it this way, but when the information ontology is further worked out this will be replaced with a condition discussing the measurement."	user		
11395	analyte role	OBI_0000275	pH (techically the inverse log of [H+]) may be considered a quality; this remains to be tested.	separate	user	user?
11396	analyte role	OBI_0000275	"qualities such as weight, color are not assayed but measured, so they do not fall into this category."	user		
11399	analyte role	OBI_0000275	"interestingly, an analyte is still an analyte even if it is not detected.  for this reason it does not bear a specified input role"	user		TODO: expand
11404	analyte role	OBI_0000275	"Feb 10, 2009.  changes after discussion at OBI Consortium Workshop Feb 2-6, 2009.  accepted as core term."	separate		delete?
17451	analytical cytology data file	OBI_0000210	binary_digital_entity	delete		
12579	anatomical entity	OBI_0100015	10/20/09: This class and all subclasses are currently problematic. They should all be imported from other OBO foundry ontologies. (FMA / CARO / UBERON). Currently two problems exist: There is no cross species anatomy that covers all the entities we need. Secondly: there is not good boundary between anatomical entities and smaller parts in FMA. Currently we will use anatomical entities as if they are valid across species.	user		
12583	anatomical entity	OBI_0100015	"not super happy about liquids (blood, sperm), as they seem to be 'granular' somewhat, and not form a structure."	user		
12584	anatomical entity	OBI_0100015	Biom call - January 2009 - Issues: \nparasites are not macroscopic part or organism. \nfetus is_a macroscopic part (but this is up for dicusssion)	user		
12589	anatomical entity	OBI_0100015	13-02-2009:\nBiomaterial branch: change of label and definition following discussions at the OBI winter meeting 2009. It was felt that 'macroscopic part of multicellular organism' introduce an impractical delineation.\n\nIMPORTANT NOTE:  OBI 'anatomical entity' would essentially correspond to FMA 'material anatomical entity' rather than FMA 'physical anatomical entity'. OBI does not include 'immaterial anatomical entity' as it would clash with the parent class 'material entity'\n\nDOCUMENTATION NOTE: OBI anatomical entity granularity level excludes cell and biological  molecules.	user		
19562	animal feeding	OBI_0000694	"In an investigation, this will typically be part of an animal care process"	user		
6320	anticoagulant tube storage of blood specimen	OBI_0000819	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
19949	anticoagulant-containing test tube	OBI_0000784	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
19950	anticoagulant-containing test tube	OBI_0000784	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
4272	antigen presentation function	OBI_1110085	should add a reference to the antigen processing and presentation process.	separate		TODO: create tracker item
6429	antigen role	OBI_0000237	"An antigen is a substance that prompts the generation of antibodies and can cause an immune response.  Wikipedia  http://en.wikipedia.org/wiki/Antigen. In the strict sense, immunogens are those substances that elicit a response from the immune system, whereas antigens are defined as substances that bind to specific antibodies. Not all antigens produce an immunogenic response, but all immunogens are antigens"	user		TODO: add as definiiton for antigen material entity (IEDB term)
6430	antigen role	OBI_0000237	9Mar09 waiting for discussion with immunology terms	separate		TODO: trakcer duplicate assay antigen role and antigen role
4839	antithrombin-III (AT-III) berichrome assay	OBI_0000805	todo Reagents from Berichrom(r) Antithrombin III (A) and standard human plasma	user		TODO: expand? I don't understand that note
4840	antithrombin-III (AT-III) berichrome assay	OBI_0000805	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
4845	antithrombin-III (AT-III) berichrome assay	OBI_0000805	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
13104	APOLLO console	OBI_0000483	NMR instrument/NMR console	separate		
7369	arrayer	OBI_0400105	FG: definition normalised from raw import	separate	delete	 delete - synonym for uncurated
9344	artifically induced cell membrane lysis	OBI_0600027	"---\nThere is a more general 'membrane lysis', which could apply to artificial membranes etc. For this general membrane encapsulated objects would need to be defined."	user		
19771	artifically induced DNA repair	OBI_0600032	---\nis this really a protocol?\n--> This as several other protocol applications is also a natural process. The fact that it is induced experimetnally by following a protocol makes it a protocol application. Need to make sure that labels don't conflict wi	separate		
7843	artificially induced reverse transcription	OBI_0600028	multiple reagents including dNTPs are utilized in therprocess. Need to be added	user	delete	delete. TODO: add to tracker
7847	artificially induced reverse transcription	OBI_0600028	We need to indicate the relationship between the cDNA generated and the RNA that was used as a template. This may be outside of the OBI scope	user		
10285	autosampler	OBI_0000555	NMR instrument	separate		
14506	AVANCE II spectrometer	OBI_0000580	NMR instrument	separate		
2216	balanced incomplete block design	OBI_0500008	MSI	delete		
5341	bead	OBI_1000207	DS: Probably better modeled as a role.	user		TODO: check if that makes sense - don't think it does
14018	Berichrom(r) Antithrombin III (A) Kit	OBI_0000815	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
14019	Berichrom(r) Antithrombin III (A) Kit	OBI_0000815	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
17535	biological vector role	OBI_0000109	"Feb 20, 2009. The material transmitted can be genetic information (as in cloning vector) or a pathogen (as in a disease vector)"	user		
17538	biological vector role	OBI_0000109	"6/12/2009 Alan made this a material to be added role, because it was, and because this speeded up reasoning"	separate		
12324	bisulfite sequencing	OBI_0000748	"8/19/09: Chris says that there may used to be a way of doing bisulfite sequencing comparing lenghts of restriction fragments, which implies that it is possible to do without DNA sequencing."	user		TODO: typo
5913	blinded medication role	OBI_0000223	"CDISC definition (in part):  blinded (masked) medications. Products that appear identical in size,"	user	delete	delet as per JF
8457	blood plasma	OBI_0100016	This is in FMA	user		TODO: if it is import. If we mean sthg else delete
8461	blood plasma	OBI_0100016	PRS:19032008-moved under entity of organismal origin ->modification to definition to reflect change + addition of pubmed based example	delete		
